Date,Totalflow
12/6/2017,22589
12/7/2017,22367
12/8/2017,22855
12/9/2017,23153
12/10/2017,18665
12/11/2017,22072
12/12/2017,21543
12/13/2017,22027
12/14/2017,22201
12/15/2017,22576
12/16/2017,22833
12/17/2017,18453
12/18/2017,22354
12/19/2017,22186
12/20/2017,22334
12/21/2017,22310
12/22/2017,23352
12/23/2017,23109
12/24/2017,18563
12/25/2017,22417
12/26/2017,23696
12/27/2017,24292
12/28/2017,21168
12/29/2017,24292
12/30/2017,24136
12/31/2017,18782
1/1/2018,22991
1/2/2018,23230
1/3/2018,24169
1/4/2018,24866
1/5/2018,26893
1/6/2018,21742
1/7/2018,19264
1/8/2018,19851
1/9/2018,23521
1/10/2018,23833
1/11/2018,23807
1/12/2018,24888
1/13/2018,25505
1/14/2018,22295
1/15/2018,23238
1/16/2018,23916
1/17/2018,24573
1/18/2018,21240
1/19/2018,19391
1/20/2018,17243
1/21/2018,19672
1/22/2018,22813
1/23/2018,23739
1/24/2018,23525
1/25/2018,23921
1/26/2018,24951
1/27/2018,25110
1/28/2018,21463
1/29/2018,22999
1/30/2018,24245
1/31/2018,22768
2/1/2018,24847
2/2/2018,25076
2/3/2018,25705
2/4/2018,22694
2/5/2018,23000
2/6/2018,23452
2/7/2018,23498
2/8/2018,23552
2/9/2018,24031
2/10/2018,24602
2/11/2018,19388
2/12/2018,16059
2/13/2018,16180
2/14/2018,15271
2/15/2018,16786
2/16/2018,19479
2/17/2018,18733
2/18/2018,14478
2/19/2018,20179
2/20/2018,21385
2/21/2018,21166
2/22/2018,21554
2/23/2018,20065
2/24/2018,21438
2/25/2018,16528
2/26/2018,21209
2/27/2018,21763
2/28/2018,20510
3/1/2018,21785
3/2/2018,17023
3/3/2018,19211
3/4/2018,16545
3/5/2018,16883
3/6/2018,14207
3/7/2018,15450
3/8/2018,19703
3/9/2018,21735
3/10/2018,22363
3/11/2018,22050
3/12/2018,19043
3/13/2018,21079
3/14/2018,17359
3/15/2018,20903
3/16/2018,21882
3/17/2018,21402
3/18/2018,16842
3/19/2018,20221
3/20/2018,21384
3/21/2018,21136
3/22/2018,21177
3/23/2018,21849
3/24/2018,21338
3/25/2018,16932
3/26/2018,20890
3/27/2018,21125
3/28/2018,20860
3/29/2018,21504
3/30/2018,22044
3/31/2018,21818
4/1/2018,16147
4/2/2018,20864
4/3/2018,21526
4/4/2018,23497
4/5/2018,22897
4/6/2018,17500
4/7/2018,16160
4/8/2018,17200
4/9/2018,15678
4/10/2018,20566
4/11/2018,16437
4/12/2018,21834
4/13/2018,22445
4/14/2018,22959
4/15/2018,21470
4/16/2018,22172
4/17/2018,22041
4/18/2018,22287
4/19/2018,21937
4/20/2018,22839
4/21/2018,23830
4/22/2018,20952
4/23/2018,21407
4/24/2018,21977
4/25/2018,22257
4/26/2018,22625
4/27/2018,18540
4/28/2018,23546
4/29/2018,20598
4/30/2018,22111
5/1/2018,20404
5/2/2018,22347
5/3/2018,22227
5/4/2018,23530
5/5/2018,23420
5/6/2018,20896
5/7/2018,21989
5/8/2018,21976
5/9/2018,21656
5/10/2018,22481
5/11/2018,23478
5/12/2018,23164
5/13/2018,21211
5/14/2018,22552
5/15/2018,23101
5/16/2018,21624
5/17/2018,21176
5/18/2018,22763
5/19/2018,22935
5/20/2018,18578
5/21/2018,21336
5/22/2018,21610
5/23/2018,22347
5/24/2018,21936
5/25/2018,22650
5/26/2018,24326
5/27/2018,19892
5/28/2018,20374
5/29/2018,21425
5/30/2018,22332
5/31/2018,21820
6/1/2018,22188
6/2/2018,22414
6/3/2018,18028
6/4/2018,21488
6/5/2018,21908
6/6/2018,22062
6/7/2018,21555
6/8/2018,22462
6/9/2018,22516
6/10/2018,18441
6/11/2018,21734
6/12/2018,21800
6/13/2018,21793
6/14/2018,21271
6/15/2018,16107
6/16/2018,19262
6/17/2018,17914
6/18/2018,21499
6/19/2018,21139
6/20/2018,22265
6/21/2018,22048
6/22/2018,23019
6/23/2018,16699
6/24/2018,17267
6/25/2018,21449
6/26/2018,21638
6/27/2018,23548
6/28/2018,22456
6/29/2018,23660
6/30/2018,23593
7/1/2018,19829
7/2/2018,22003
7/3/2018,22792
7/4/2018,22582
7/5/2018,23373
7/6/2018,25560
7/7/2018,27163
7/8/2018,18862
7/9/2018,21945
7/10/2018,22073
7/11/2018,22715
7/12/2018,22078
7/13/2018,23004
7/14/2018,22588
7/15/2018,21466
7/16/2018,22436
7/17/2018,21930
7/18/2018,22140
7/19/2018,23132
7/20/2018,24195
7/21/2018,24553
7/22/2018,22902
7/23/2018,23458
7/24/2018,25087
7/25/2018,24523
7/26/2018,20986
7/27/2018,24353
7/28/2018,24199
7/29/2018,21010
7/30/2018,22192
7/31/2018,22532
8/1/2018,21945
8/2/2018,19345
8/3/2018,23529
8/4/2018,24504
8/5/2018,22065
8/6/2018,22234
8/7/2018,21892
8/8/2018,21794
8/9/2018,22047
8/10/2018,22378
8/11/2018,22708
8/12/2018,18667
8/13/2018,21675
8/14/2018,22435
8/15/2018,22222
8/16/2018,21657
8/17/2018,23015
8/18/2018,22013
8/19/2018,18081
8/20/2018,22205
8/21/2018,16716
8/22/2018,22248
8/23/2018,22181
8/24/2018,25544
8/25/2018,25999
8/26/2018,22948
8/27/2018,25357
8/28/2018,25043
8/29/2018,24226
8/30/2018,25826
8/31/2018,27191
9/1/2018,26810
9/2/2018,23223
9/3/2018,26006
9/4/2018,26235
9/5/2018,26405
9/6/2018,26964
9/7/2018,28063
9/8/2018,27304
9/9/2018,22069
9/10/2018,20324
9/11/2018,9359
9/12/2018,18263
9/13/2018,22511
9/14/2018,21757
9/15/2018,12950
9/16/2018,19191
9/17/2018,20459
9/18/2018,20932
9/19/2018,23310
9/20/2018,24296
9/21/2018,25497
9/22/2018,25144
9/23/2018,20674
9/24/2018,24496
9/25/2018,24947
9/26/2018,19918
9/27/2018,16454
9/28/2018,20894
9/29/2018,22880
9/30/2018,21102
10/1/2018,23529
10/2/2018,25065
10/3/2018,22816
10/4/2018,24654
10/5/2018,25066
10/6/2018,25757
10/7/2018,21480
10/8/2018,24300
10/9/2018,24328
10/10/2018,23948
10/11/2018,24769
10/12/2018,25273
10/13/2018,25349
10/14/2018,22648
10/15/2018,24089
10/16/2018,24142
10/17/2018,23180
10/18/2018,23827
10/19/2018,24803
10/20/2018,24979
10/21/2018,21372
10/22/2018,24329
10/23/2018,24529
10/24/2018,24105
10/25/2018,24884
